,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～８月累計,１月～８月累計,１月～８月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０３年(A),０２年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,979,1088,90.0,1016,96.4,,,6410,7841,81.7,39.4,37.0,49.3,47.4
本田技研,４０１以上,1007,1210,83.2,1056,95.4,,,7101,8504,83.5,21.6,18.8,50.7,52.6
本田技研,計,1986,2298,86.4,2072,95.8,7812,93/4,13511,16345,82.7,27.8,24.5,100,100
スズキ,251～400,358,330,108.5,261,137.2,,,2432,2356,103.2,14.4,14.0,48.2,37.5
スズキ,４０１以上,385,518,74.3,572,67.3,,,4048,4341,93.3,8.3,10.7,51.8,62.5
スズキ,計,743,848,87.6,833,89.2,4868,85/4,6480,6697,96.8,10.4,11.8,100,100
ヤマハ,251～400,824,946,87.1,988,83.4,,,6023,6640,90.7,33.2,34.8,59.8,53.5
ヤマハ,４０１以上,553,788,70.2,745,74.2,,,5242,5859,89.5,11.9,13.9,40.2,46.5
ヤマハ,計,1377,1734,79.4,1733,79.5,7198,85/4,11265,12499,90.1,19.3,20.4,100,100
カワサキ,251～400,282,287,98.3,328,86.0,,,2014,2325,86.6,11.3,11.6,29.2,24.4
カワサキ,４０１以上,684,896,76.3,761,89.9,,,6235,7678,81.2,14.7,16.5,70.8,75.6
カワサキ,計,966,1183,81.7,1089,88.7,5607,91/4,8249,10003,82.5,13.5,15.0,100,100
その他,251～400,42,68,61.8,56,75.0,,,449,474,94.7,1.7,2.6,2.0,2.9
その他,４０１以上,2023,2278,88.8,1575,128.4,,,15176,14702,103.2,43.5,40.1,98.0,97.1
その他,計,2065,2346,88.0,1631,126.6,2655,03/4,15625,15176,103.0,28.9,28.3,100,100
合計,251～400,2485,2719,91.4,2649,93.8,,,17328,19636,88.2,100,100,34.8,31.4
合計,４０１以上,4652,5690,81.8,4709,98.8,,,37802,41084,92.0,100,100,65.2,68.6
合計,計,7137,8409,84.9,7358,97.0,22617,85/4,55130,60720,90.8,100,100,100,100
