,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１２月累計,１月～１２月累計,１月～１２月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,００年(A),９９年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,446,618,72.2,537,83.1,,,9918,13062,75.9,29.2,34.8,40.8,46.6
本田技研,４０１以上,648,648,100.0,660,98.2,,,11351,12270,92.5,16.7,20.5,59.2,53.4
本田技研,計,1094,1266,86.4,1197,91.4,7812,93/4,21269,25332,84.0,20.2,25.3,100,100
スズキ,251～400,326,333,97.9,283,115.2,,,4770,5817,82.0,21.3,16.7,50.7,46.3
スズキ,４０１以上,317,345,91.9,268,118.3,,,5538,5004,110.7,8.2,10.0,49.3,53.7
スズキ,計,643,678,94.8,551,116.7,4868,85/4,10308,10821,95.3,11.9,12.3,100,100
ヤマハ,251～400,419,453,92.5,606,69.1,,,8827,12006,73.5,27.4,30.9,43.6,48.3
ヤマハ,４０１以上,543,540,100.6,461,117.8,,,9465,10884,87.0,14.0,17.1,56.4,51.7
ヤマハ,計,962,993,96.9,1067,90.2,7198,85/4,18292,22890,79.9,17.8,21.8,100,100
カワサキ,251～400,296,300,98.7,309,95.8,,,4512,5774,78.1,19.4,15.8,28.2,26.8
カワサキ,４０１以上,755,759,99.5,684,110.4,,,12340,13705,90.0,19.4,22.3,71.8,73.2
カワサキ,計,1051,1059,99.2,993,105.8,5607,91/4,16852,19479,86.5,19.4,20.1,100,100
その他,251～400,40,15,266.7,13,307.7,,,500,309,161.8,2.6,1.8,2.4,2.9
その他,４０１以上,1619,1264,128.1,1381,117.2,,,16742,14850,112.7,41.7,30.2,97.6,97.1
その他,計,1659,1279,129.7,1394,119.0,1795,00/6,17242,15159,113.7,30.7,20.5,100,100
合計,251～400,1527,1719,88.8,1748,87.4,,,28527,36968,77.2,100,100,28.2,34.0
合計,４０１以上,3882,3556,109.2,3454,112.4,,,55436,56713,97.7,100,100,71.8,66.0
合計,計,5409,5275,102.5,5202,104.0,22617,85/4,83963,93681,89.6,100,100,100,100
