,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,１月～７月累計,１月～７月累計,１月～７月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,14年(A),13年(B),(A / B),本月,本年
ホンダ,251～400,,,,,,,,,,,,
ホンダ,401以上,,,,,,,,,,,,
ホンダ,計,1720,1761,97.7,2117,81.2,7812,93/4,11224,10813,103.8,25.9,25.3
スズキ,251～400,,,,,,,,,,,,
スズキ,401以上,,,,,,,,,,,,
スズキ,計,594,691,86.0,699,85.0,4868,85/4,3989,4112,97.0,9.0,9.0
ヤマハ,251～400,,,,,,,,,,,,
ヤマハ,401以上,,,,,,,,,,,,
ヤマハ,計,1421,1070,132.8,856,166.0,7198,85/4,7480,4480,167.0,21.4,16.9
カワサキ,251～400,,,,,,,,,,,,
カワサキ,401以上,,,,,,,,,,,,
カワサキ,計,986,1033,95.5,942,104.7,5607,91/4,7496,6907,108.5,14.9,16.9
その他,251～400,,,,,,,,,,,,
その他,401以上,,,,,,,,,,,,
その他,計,1914,2411,79.4,2195,87.2,3190,07/4,14120,13799,102.3,28.8,31.9
合計,251～400,,,,,,,,,,,,
合計,401以上,,,,,,,,,,,,
合計,計,6635,6966,95.2,6809,97.4,22617,85/4,44309,40111,110.5,100,100
