,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,１月～６月累計,１月～６月累計,１月～６月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,１４年(A),１３年(B),(A / B),本月,本年
ホンダ,251～400,,,,,,,,,,,,
ホンダ,401以上,,,,,,,,,,,,
ホンダ,計,1761,1577,111.7,1819,96.8,7812,93/4,9504,8696,109.3,25.3,25.2
スズキ,251～400,,,,,,,,,,,,
スズキ,401以上,,,,,,,,,,,,
スズキ,計,691,479,144.3,554,124.7,4868,85/4,3395,3413,99.5,9.9,9.0
ヤマハ,251～400,,,,,,,,,,,,
ヤマハ,401以上,,,,,,,,,,,,
ヤマハ,計,1070,992,107.9,757,141.3,7198,85/4,6059,3624,167.2,15.4,16.1
カワサキ,251～400,,,,,,,,,,,,
カワサキ,401以上,,,,,,,,,,,,
カワサキ,計,1033,987,104.7,1201,86.0,5607,91/4,6510,5965,109.1,14.8,17.3
その他,251～400,,,,,,,,,,,,
その他,401以上,,,,,,,,,,,,
その他,計,2411,1698,142.0,2435,99.0,3190,07/4,12206,11604,105.2,34.6,32.4
合計,251～400,,,,,,,,,,,,
合計,401以上,,,,,,,,,,,,
合計,計,6966,5733,121.5,6766,103.0,22617,85/4,37674,33302,113.1,100,100
