,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～３月累計,１月～３月累計,１月～３月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０３年(A),０２年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,693,549,126.2,1099,63.1,,,1782,2317,76.9,33.6,37.5,42.2,45.8
本田技研,４０１以上,949,771,123.1,1367,69.4,,,2110,2617,80.6,19.4,19.2,57.8,54.2
本田技研,計,1642,1320,124.4,2466,66.6,7812,93/4,3892,4934,78.9,23.6,24.8,100,100
スズキ,251～400,339,243,139.5,406,83.5,,,788,849,92.8,16.4,16.6,34.2,39.3
スズキ,４０１以上,652,252,258.7,438,148.9,,,1219,1129,108.0,13.4,11.1,65.8,60.7
スズキ,計,991,495,200.2,844,117.4,4868,85/4,2007,1978,101.5,14.3,12.8,100,100
ヤマハ,251～400,737,444,166.0,677,108.9,,,1529,1450,105.4,35.8,32.2,52.0,50.5
ヤマハ,４０１以上,680,472,144.1,642,105.9,,,1496,1404,106.6,13.9,13.6,48.0,49.5
ヤマハ,計,1417,916,154.7,1319,107.4,7198,85/4,3025,2854,106.0,20.4,19.2,100,100
カワサキ,251～400,223,155,143.9,268,83.2,,,498,588,84.7,10.8,10.5,22.7,21.6
カワサキ,４０１以上,761,672,113.2,973,78.2,,,1806,1990,90.8,15.6,16.5,77.3,78.4
カワサキ,計,984,827,119.0,1241,79.3,5607,91/4,2304,2578,89.4,14.2,14.7,100,100
その他,251～400,69,48,143.8,53,130.2,,,154,126,122.2,3.3,3.2,3.6,3.4
その他,４０１以上,1840,1543,119.2,1760,104.5,,,4342,4338,100.1,37.7,39.6,96.4,96.6
その他,計,1909,1591,120.0,1813,105.3,2603,02/4,4496,4464,100.7,27.5,28.6,100,100
合計,251～400,2061,1439,143.2,2503,82.3,,,4751,5330,89.1,100,100,29.7,30.2
合計,４０１以上,4882,3710,131.6,5180,94.2,,,10973,11478,95.6,100,100,70.3,69.8
合計,計,6943,5149,134.8,7683,90.4,22617,85/4,15724,16808,93.6,100,100,100,100
